created_at,tweet_id,name,screen_name,retweet_count,text,mined_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
2020-11-13 16:53:56,1327293633318457345,Arizona Republican Party,AZGOP,491,RT @GOP: “Our number one priority is to ensure the integrity of this election.” -@CMSmedile https://t.co/UTgImPyj0M,2021-03-01 21:20:55.084568,0,[],22075,,Twitter Web App,“Our number one priority is to ensure the integrity of this election.” -@CMSmedile https://t.co/UTgImPyj0M,None,None
2020-11-13 18:00:52,1327310478301827073,Arizona Republican Party,AZGOP,852,"RT @kelliwardaz: Winners never quit, and quitters never win, Jeff. It’s easy being a backseat driver in politics, but leave the fighting to…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"Winners never quit, and quitters never win, Jeff. It’s easy being a backseat driver in politics, but leave the fighting to the people in the arena. The @GOP 𝗛𝗔𝗦 a bright future (72M votes)! Thankfully, you won’t be a part of it. https://t.co/3vBoCpcooH https://t.co/1b0tcHspRn",None,None
2020-11-13 19:23:36,1327331297178517505,Arizona Republican Party,AZGOP,2854,"RT @RSBNetwork: NEW: President Trump will deliver remarks from The Rose Garden at 4pm ET.

We’ll bring it to you live.",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"NEW: President Trump will deliver remarks from The Rose Garden at 4pm ET.

We’ll bring it to you live.",None,None
2020-11-13 19:27:10,1327332192591101952,Arizona Republican Party,AZGOP,80,AZGOP Files Lawsuit Demanding Hand-Count Audit of Votes by Precinct https://t.co/uhc5fIAoDf via @BreitbartNews,2021-03-01 21:20:55.084568,233,[],22075,,Twitter Web App,None,None,None
2020-11-13 19:33:01,1327333666763145222,Arizona Republican Party,AZGOP,61,"RT @sherifflamb1: Thanksgiving PSA. Let’s be thankful, count our blessings and enjoy some Family time, like AMERICANS do. 
.
.
#happythanks…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter Web App,"Thanksgiving PSA. Let’s be thankful, count our blessings and enjoy some Family time, like AMERICANS do. 
.
.
#happythanksgiving #countyourblessings #bethankful #family #familytime #americanspirit #dontdrinkanddrive https://t.co/gyyEtQAH3T",None,None
2020-11-13 19:48:26,1327337545282199552,Arizona Republican Party,AZGOP,14736,RT @DonaldJTrumpJr: I wonder why Twitter isn’t fact checking this? Could it be because he’s 100% right? https://t.co/md7mCxvMY8,2021-03-01 21:20:55.084568,0,[],22075,,Twitter Web App,I wonder why Twitter isn’t fact checking this? Could it be because he’s 100% right? https://t.co/md7mCxvMY8,None,None
2020-11-13 19:52:10,1327338488132296704,Arizona Republican Party,AZGOP,349,Arizona Republican Party sues for hand-audit of ballots https://t.co/KRkNYAD7lb via @washtimes,2021-03-01 21:20:55.084568,1343,[],22075,,Twitter Web App,None,None,None
2020-11-13 20:37:10,1327349811842928640,Arizona Republican Party,AZGOP,191,"RT @alexbruesewitz: President @realDonaldTrump GAINED 10 million voters since 2016.

Amazing number!

When Obama ran for re-election, he LO…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"President @realDonaldTrump GAINED 10 million voters since 2016.

Amazing number!

When Obama ran for re-election, he LOST 4 million voters.",None,None
2020-11-13 20:38:10,1327350061232078848,Arizona Republican Party,AZGOP,1336,"RT @TrumpWarRoom: ""At what point do Democrats concede that fraud is not good, that people that are saying they are 120 years old and voting…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"""At what point do Democrats concede that fraud is not good, that people that are saying they are 120 years old and voting is not good, that dead people voting is not good? An illegal vote undermines every legal vote cast in this country."" - @ErinMPerrine https://t.co/SrYiE9dCNr",None,None
2020-11-13 20:38:23,1327350118622760960,Arizona Republican Party,AZGOP,6710,"RT @TrumpWarRoom: When a woman claimed President Trump was an illegitimate president and the crowd cheered, Joe Biden did not correct them.…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"When a woman claimed President Trump was an illegitimate president and the crowd cheered, Joe Biden did not correct them.

Biden didn't tell Democrats to accept the election. He didn't tell them to ""heal.""

Instead, Biden said, ""I absolutely agree!""

Biden is a total hypocrite. https://t.co/6DKdwsASOq",None,None
2020-11-13 21:00:22,1327355647281618944,Arizona Republican Party,AZGOP,705,RT @RSBNetwork: Watch LIVE: President @realDonaldTrump delivers remarks from The Rose Garden https://t.co/xkFtJJep9R,2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,Watch LIVE: President @realDonaldTrump delivers remarks from The Rose Garden https://t.co/xkFtJJep9R,None,None
2020-11-13 22:00:27,1327370769970597888,Arizona Republican Party,AZGOP,192,"RT @RepAndyBiggsAZ: If the American people cannot trust our elections, then we will crumble the bedrock of our constitutional republic.

We…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"If the American people cannot trust our elections, then we will crumble the bedrock of our constitutional republic.

We must test and ensure the integrity of all of our election systems across the nation to give confidence to all Americans. Anything less will not suffice. https://t.co/jMTMkjRMri",None,None
2020-11-13 22:01:52,1327371125844676609,Arizona Republican Party,AZGOP,93,"RT @WalidPhares: As we see the dramatic numbers of complaints &amp; lawsuits, we suggest that all votes in disputed state elections for Biden &amp;…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"As we see the dramatic numbers of complaints &amp; lawsuits, we suggest that all votes in disputed state elections for Biden &amp; Trump should be canceled &amp; redone entirely: GA, PA, Michigan, WI, AZ, NV. If the current winners are confident in their voters, they should welcome it.",None,None
2020-11-13 22:04:03,1327371676745515008,Arizona Republican Party,AZGOP,1328,"RT @AndrewPollackFL: This is the woman in charge of Arizona's election

Democrat Secretary of State Katie Hobbs called 73 million Americans…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"This is the woman in charge of Arizona's election

Democrat Secretary of State Katie Hobbs called 73 million Americans neo-nazis.

She must recuse herself and every single vote in Arizona must be audited! https://t.co/OLYYem7QUE",None,None
2020-11-13 22:05:09,1327371953330475008,Arizona Republican Party,AZGOP,228,"Arizona voters depend on unbiased, neutral elected leaders to ensure our elections remain fair and untainted.

Democrat @katiehobbs has unapologetically disparaged and smeared millions of Arizona voters and cannot be trusted to perform her duties impartially. https://t.co/HjJvGZghwh",2021-03-01 21:20:55.084568,506,[],22075,,Twitter for iPhone,None,None,None
2020-11-13 22:18:21,1327375273419972608,Arizona Republican Party,AZGOP,1101,"RT @CortesSteve: Reasons to keep fighting for Pres Trump:

Gas
Guns
God https://t.co/9z0iWmSsGj",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"Reasons to keep fighting for Pres Trump:

Gas
Guns
God https://t.co/9z0iWmSsGj",None,None
2020-11-14 00:13:37,1327404281327087616,Arizona Republican Party,AZGOP,2171,RT @SenTedCruz: .@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020…,2021-03-01 21:20:55.084568,0,"[{'text': 'Election2020', 'indices': [126, 139]}]",22075,,Twitter for iPhone,.@realDonaldTrump broke the Mainstream Media. The American people will determine the results of the election. #Election2020 https://t.co/c8N10nnqcv,None,None
2020-11-14 02:12:11,1327434119194714112,Arizona Republican Party,AZGOP,28,"In a tweet, Arizona Democrat @katiehobbs attacked Trump supporters as “Nazis”

Instead of apologizing for her disgusting and divisive smear....

....she’s now doubling down. 🤦🏻‍♀️ https://t.co/kUogWhfB1I",2021-03-01 21:20:55.084568,79,[],22075,,Twitter for iPhone,None,None,None
2020-11-14 02:15:10,1327434871774572546,Arizona Republican Party,AZGOP,228,"RT @AZGOP: Arizona voters depend on unbiased, neutral elected leaders to ensure our elections remain fair and untainted.

Democrat @katieho…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"Arizona voters depend on unbiased, neutral elected leaders to ensure our elections remain fair and untainted.

Democrat @katiehobbs has unapologetically disparaged and smeared millions of Arizona voters and cannot be trusted to perform her duties impartially. https://t.co/HjJvGZghwh",None,None
2020-11-14 06:24:20,1327497574719242240,Arizona Republican Party,AZGOP,626,RT @PARISDENNARD: ICYMI: Add 2 more Republicans to the #GOP House flip tally tonight because @YoungKimCA just beat her Democrat incumbent i…,2021-03-01 21:20:55.084568,0,"[{'text': 'GOP', 'indices': [55, 59]}]",22075,,Twitter for iPhone,"ICYMI: Add 2 more Republicans to the #GOP House flip tally tonight because @YoungKimCA just beat her Democrat incumbent in her successful bid for Congress along with @BurgessOwens! 

The growth &amp; diversity of our party @GOP under Pres. @realDonaldTrump &amp; @GOPChairwoman is 🔥 https://t.co/h4STZDXgMD",None,None
2020-11-14 16:53:06,1327655808474091520,Arizona Republican Party,AZGOP,699,RT @KatrinaPierson: #MarchForTrump 🇺🇸,2021-03-01 21:20:55.084568,0,"[{'text': 'MarchForTrump', 'indices': [20, 34]}]",22075,,Twitter for iPhone,#MarchForTrump 🇺🇸,None,None
2020-11-14 17:15:02,1327661329449066498,Arizona Republican Party,AZGOP,7762,RT @DanScavino: POTUS @realDonaldTrump just called me from the motorcade and said he passed thousands of Great American Patriots with their…,2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"POTUS @realDonaldTrump just called me from the motorcade and said he passed thousands of Great American Patriots with their American Flags and Trump Flags, just outside the White House, here in Washington, D.C. — he couldn’t believe it! THANK YOU, PATRIOTS!! https://t.co/VdlO7lnqyE",None,None
2020-11-14 17:15:24,1327661422000578561,Arizona Republican Party,AZGOP,36952,"RT @kayleighmcenany: AMAZING!

More than one MILLION marchers for President @realDonaldTrump descend on the swamp in support.  

Best base…",2021-03-01 21:20:55.084568,0,[],22075,,Twitter for iPhone,"AMAZING!

More than one MILLION marchers for President @realDonaldTrump descend on the swamp in support.  

Best base in political history — we LOVE you guys!!! ❤️🇺🇸 https://t.co/vU65nqCSns",None,None
2020-11-14 17:26:07,1327664119781023745,Arizona Republican Party,AZGOP,62,https://t.co/3fJLvFtmZG,2021-03-01 21:20:55.084568,233,[],22075,,Twitter for iPhone,None,None,None
