,Datetime,Tweet Id,Text,Username
33,2021-01-21 06:30:59+00:00,1352141623702876161,"America is respected again. Thank you, President Trump.",AZGOP
34,2021-01-21 06:17:45+00:00,1352138295807885312,Biden built the cages.,AZGOP
35,2021-01-21 06:16:22+00:00,1352137944522391554,Arizona will only remain the greatest state in the Union as long as the leaders we elect put Arizonans first. Our downfall will come swiftly as soon as the government decides to no longer prioritize the needs and interests of its own citizens. #RuleOfLaw,AZGOP
36,2021-01-21 06:06:23+00:00,1352135433900093442,"Big Tech, the Media, and Radical Democrats want to silence and censor conservative voices. But you can't silence 75 MILLION people. It's impossible to silence a MOVEMENT. #1A",AZGOP
37,2021-01-21 06:00:30+00:00,1352133954833313792,Republicans must show Biden the same respect that Democrats showed President Trump over the course of the last four years. That is the fair and the right thing to do - show Biden the same respect Trump was shown.,AZGOP
38,2021-01-21 05:58:12+00:00,1352133376304578560,"Arizona looks poised to earn a 10th congressional seat. As long as the Democrats don't cheat on redistricting (what happened in 2011?), Republicans should do very well!",AZGOP
39,2021-01-21 05:56:48+00:00,1352133021776842753,"There are many #AmericaFirst fighters in Congress, but none more impressive than @RepAndyBiggsAZ @RepGosar @RepDLesko @RepDavid. They say you get the leaders you deserve - and Arizona has some great ones! #LeadRight",AZGOP
40,2021-01-21 05:53:55+00:00,1352132297391149059,Some incredible work being done by amazing leaders in @AZSenateGOP &amp; @AZHouseGOP - stay tuned! #ElectionIntegrity,AZGOP
41,2021-01-21 03:12:09+00:00,1352091585064828933,🙂 https://t.co/DPqBXipkhN,AZGOP
42,2021-01-20 23:03:02+00:00,1352028892538683399,"""on the terms of a potential agreement""
""working toward an agreement""
""some of the requested documents""

..............................................................................................................................................................seriously? https://t.co/8elRGYPlZV",AZGOP
43,2021-01-20 19:30:00+00:00,1351975282924691458,"In today's update, Chairwoman @kelliwardaz looks back at the past four years of historic accomplishments by President Trump's administration. https://t.co/fpZOhkEW6R",AZGOP
44,2021-01-20 18:16:28+00:00,1351956776212545537,"Thank you to the Maricopa Board of Supervisors for finally agreeing to #AuditTheVote after a three-month-long, hard-fought battle for transparency! Congratulations to @kelliwardaz @FannKfann @FarnsworthEddie @votewarren, and others, who continue the fight for #ElectionIntegrity.",AZGOP
45,2021-01-20 18:11:37+00:00,1351955558207692800,🚨 Maricopa County audit incoming. https://t.co/Suv9R2Gtpa,AZGOP
46,2021-01-19 03:21:11+00:00,1351369084768641025,"There are no upcoming peaceful protests scheduled at the Arizona State Capitol. Ignore misinformation.

Stay safe. Stay home. Pray. https://t.co/LagW1RbCLu",AZGOP
47,2021-01-18 21:00:00+00:00,1351273156229656579,"In today's update, Chairwoman @kelliwardaz shares new polling data that reveals how House Democrats' second radical impeachment gambit is dividing the country. https://t.co/Yhn6Xo819T",AZGOP
48,2021-01-18 16:57:24+00:00,1351212103437348866,"Dr. Martin Luther King Jr.'s fight for civil rights made our nation freer and more equal, and we owe him a great deal of gratitude for his lifetime of service. #MLKDay2021 https://t.co/jdlbTceR9x",AZGOP
49,2021-01-17 05:35:20+00:00,1350678069623758848,In case you’re just tuning in: https://t.co/52ngmAHhdi,AZGOP
